가맹점명,주소
종로점,서울특별시 종로구 종로 94
종로구청점,서울특별시 종로구 삼봉로 57
시청역점,서울특별시 중구 서소문로 136
충무로역점,서울특별시 중구 퇴계로 216
회현역점,서울특별시 중구 퇴계로 52 티마크그랜드호텔 명동 1층
동국대점(임시휴점 6/18~8/31),서울특별시 중구 필동로1길 30
서대문역점,서울특별시 중구 순화동 215 1층
혜화역점,서울특별시 종로구 동숭길 148
서울역점,서울특별시 용산구 한강대로 405
신당역점,서울특별시 중구 다산로 258
약수역점,서울특별시 중구 다산로 142
창동역점,서울특별시 도봉구 노해로 389
양평점,서울특별시 영등포구 선유로 130
쌍문점,서울특별시 도봉구 도당로 6
연세로점,서울특별시 서대문구 연세로 25
종로점,서울특별시 종로구 종로 94
천호역점,서울특별시 강동구 천호대로 1012
쌍문SK점,서울특별시 도봉구 도봉로 437
명일DT점,서울특별시 강동구 고덕로 168
수유역점,서울특별시 강북구 도봉로 314
선릉역점,서울특별시 강남구 선릉로 429
대치역점,서울특별시 강남구 남부순환로 2936
구로디지털점,서울특별시 구로구 디지털로 288
종로구청점,서울특별시 종로구 삼봉로 57
길동사거리점,서울특별시 강동구 양재대로 1440
서대문역점,서울특별시 중구 순화동 215 1층
문정점,서울특별시 송파구 송이로 239
당산역점,서울특별시 영등포구 양평로 58
사당역점,서울특별시 동작구 동작대로 21
몽촌토성점,서울특별시 송파구 백제고분로51길 30
구로점,서울특별시 구로구 시흥대로 551
목동역점,서울특별시 양천구 오목로 238
충무로역점,서울특별시 중구 퇴계로 216
차병원사거리점,서울특별시 강남구 봉은사로 179
강남도곡점,서울특별시 강남구 논현로 172
약수역점,서울특별시 중구 다산로 142
청담점,서울특별시 강남구 선릉로 812
수서점,서울특별시 강남구 광평로 280
석관점,서울특별시 성북구 돌곶이로 50
장안SK점,서울특별시 동대문구 한천로 100
신당역점,서울특별시 중구 다산로 258
신림역점,서울특별시 관악구 신림로 318
연신내역점,서울특별시 은평구 통일로 834
건대역점,서울특별시 광진구 아차산로 272
동국대점(임시휴점 6/18~8/31),서울특별시 중구 필동로1길 30
홍제역점,서울특별시 서대문구 통일로 464
교대역점,서울특별시 서초구 서초대로 283
영등포KT점,서울특별시 영등포구 영중로 119
가재울뉴타운점,서울특별시 서대문구 수색로 56
구로구청점,서울특별시 구로구 가마산로 250
마곡점,서울특별시 강서구 마곡동로 56
공덕역점,서울특별시 마포구 마포대로 144
서교동사거리점,서울특별시 마포구 양화로 100
안암오거리점,서울특별시 성북구 안암로 73
미아역점,서울특별시 강북구 도봉로 188
신월점,서울특별시 양천구 화곡로 64
종암점,서울특별시 성북구 종암로 123
박석고개SK점,서울특별시 은평구 통일로 945
